Gene name	Chromosome	Start location	End location	Insertion locations	Reads per insertion location
YAL069W	I	335	649	[341, 355, 387, 420, 426, 433, 446, 452, 491, 494, 498, 500, 503, 506, 511, 517, 517, 522, 523, 559, 565, 573, 577, 587, 593]	[1, 6, 2, 3, 6, 1, 16, 4, 1, 9, 4, 10, 7, 13, 20, 3, 3, 1, 52, 1, 67, 5, 53, 6, 18]
YAL068W-A	I	538	792	[559, 565, 573, 577, 587, 593, 689, 695, 704, 723, 777, 782]	[1, 67, 5, 53, 6, 18, 20, 37, 2, 1, 1, 4]
PAU8	I	1807	2169	[1822, 1825, 1840, 1844, 1879, 1968, 1972, 1993, 2012, 2014, 2019, 2032, 2122, 2123, 2129, 2151]	[22, 8, 1, 1, 3, 1, 1, 1, 7, 5, 2, 1, 7, 59, 14, 1]
YAL067W-A	I	2480	2707	[2480, 2490, 2493, 2498, 2549, 2554, 2564, 2582, 2588, 2592, 2607, 2618, 2624]	[25, 20, 1, 1, 1, 19, 3, 2, 8, 4, 3, 10, 1]
SEO1	I	7235	9016	[7250, 7291, 7293, 7403, 7472, 7477, 7558, 7772, 7785, 7859, 8044, 8055, 8088, 8117, 8178, 8200, 8266, 8277, 8363, 8463, 8562, 8601, 8619, 8668, 8685, 8696, 8715, 8733, 8759, 8827, 8831, 8844, 8869, 8873, 8891, 8895, 8907, 8943, 8944, 8957, 8963, 8973, 8973, 9011]	[1, 5, 7, 5, 1, 6, 9, 1, 7, 14, 21, 17, 4, 6, 6, 2, 5, 2, 3, 1, 1, 1, 5, 3, 1, 2, 1, 2, 3, 1, 2, 11, 1, 2, 42, 3, 1, 14, 44, 1, 3, 21, 1, 3]
YAL066W	I	10091	10399	[10098, 10099, 10108, 10109, 10122, 10132, 10143, 10161, 10185, 10231, 10239, 10262, 10275, 10282, 10292, 10297, 10302, 10312, 10317, 10320]	[1, 10, 10, 1, 33, 19, 2, 4, 15, 6, 1, 2, 26, 1, 2, 5, 2, 2, 16, 1]
YAL065C	I	11565	11951	[11622, 11698, 11719, 11766, 11769, 11775, 11784, 11787, 11790, 11795, 11799, 11803, 11810, 11834, 11842, 11880, 11901, 11904, 11925, 11932, 11945, 11951]	[44, 2, 1, 4, 54, 1, 4, 8, 31, 8, 5, 9, 7, 1, 1, 1, 2, 5, 2, 32, 1, 1]
YAL064W-B	I	12046	12426	[12052, 12143, 12151, 12158, 12194, 12207, 12216, 12294, 12300, 12319, 12330, 12334, 12337, 12338, 12341, 12349, 12354, 12355, 12362, 12369, 12371, 12383]	[2, 3, 1, 1, 2, 20, 3, 14, 15, 3, 29, 1, 3, 2, 14, 15, 1, 3, 4, 1, 1, 13]
TDA8	I	13363	13743	[13363, 13386, 13460, 13525, 13547, 13570, 13573, 13580, 13633, 13690, 13721, 13727]	[30, 9, 22, 13, 13, 4, 5, 8, 5, 5, 9, 7]
YAL064W	I	21566	21850	[21593, 21642, 21648, 21660, 21667, 21707, 21838]	[7, 2, 1, 2, 22, 1, 15]
YAL063C-A	I	22395	22685	[22469, 22480, 22483, 22496, 22502, 22510, 22515, 22516, 22544, 22561, 22616, 22636, 22659, 22666, 22671, 22675, 22681]	[11, 9, 3, 5, 12, 1, 4, 1, 14, 22, 1, 12, 2, 3, 13, 10, 1]
