,index,chromosome,gene,start bp,stop bp,+1 or -1 strand,fitness
0,0,chrI,YAL001C,147594,151166,-1,[0.7701092349517793]
93,1,chrI,YAL002W,143707,147531,1,"[0.5265051429156039, 1.500921511060305, 1.335740420280101, 0.8485322362077505, 1.3998166778875174, 1.6782459124687328, 2.516121624610726, 0.9667841976905588, 2.1894802889030327, 1.3692368413349787, 0.6690044017789917, 1.8002667724356356, 1.738990899489685, 0.2829010508794287, 0.2829010508794287, 0.2829010508794287, 0.2829010508794287, 2.031956285654798, 1.2346355871073136, 0.5265051429156039, 1.335740420280101, 1.210388289726734, 0.2829010508794287, 1.384859253954082, 1.210388289726734, 1.9151555846603154, 0.5265051429156039, 1.210388289726734, 1.818527836434233, 1.7606252003313516, 1.5613176678635161, 1.4141634215360728, 0.8485322362077505, 1.67155149262414, 1.944324554542804, 1.8229486043524514, 1.2786237250538226, 0.5265051429156039, 1.6360216247266204, 1.4539923817629092, 1.3528875485901217, 0.6690044017789917, 0.2829010508794287, 1.2786237250538226, 0.8485322362077505, 1.5880226425010073, 1.2346355871073136, 0.7701092349517793, 0.2829010508794287, 1.5880226425010073, 0.5265051429156039, 1.3528875485901217, 1.466325100326476, 1.0921363282439258, 1.0921363282439258, 1.5613176678635161, 1.3528875485901217, 0.5265051429156039, 0.9667841976905588, 0.7701092349517793, 1.0551077526785546, 0.2829010508794287, 0.5265051429156039, 1.2346355871073136, 0.8485322362077505, 1.0551077526785546, 0.2829010508794287, 1.1843433085517896, 1.3528875485901217, 0.5265051429156039, 1.335740420280101, 1.335740420280101, 0.9126084938151668, 1.1256327492988034, 1.0921363282439258, 1.0551077526785546, 1.5222278170899979, 0.2829010508794287, 0.8485322362077505, 1.384859253954082, 1.6128409333711538, 1.0551077526785546, 0.2829010508794287, 0.9667841976905588, 0.2829010508794287, 2.150208247137606, 0.8485322362077505, 0.7701092349517793, 0.7701092349517793, 0.2829010508794287, 0.2829010508794287, 1.4539923817629092, 1.8002667724356356, 0.2829010508794287, 0.2829010508794287, 1.1256327492988034, 1.0137133269879544, 1.466325100326476, 0.2829010508794287, 1.5880226425010073, 0.7701092349517793, 1.335740420280101, 0.9667841976905588, 1.551945208018266, 1.2786237250538226, 1.6128409333711538, 1.29871184471473, 1.3692368413349787, 0.6690044017789917, 0.2829010508794287, 0.2829010508794287, 0.5265051429156039, 0.2829010508794287, 0.2829010508794287, 1.9251499950935305, 2.0773672855266883, 1.478239679143489, 0.5265051429156039, 1.5222278170899979, 0.9126084938151668, 1.1256327492988034, 1.1562125858513421, 0.9667841976905588, 0.5265051429156039, 0.2829010508794287, 0.6690044017789917, 0.5265051429156039, 1.9565500103509155, 0.7701092349517793, 0.7701092349517793, 0.2829010508794287, 1.0137133269879544, 0.2829010508794287, 0.6690044017789917, 0.2829010508794287, 0.6690044017789917, 1.0137133269879544, 0.7701092349517793, 0.2829010508794287, 0.9667841976905588, 0.5265051429156039, 2.0438708644718107, 1.3177135758273408, 0.2829010508794287, 0.6690044017789917, 0.8485322362077505, 0.5265051429156039, 1.1562125858513421, 1.5423159367509052, 1.335740420280101, 0.9667841976905588, 1.1562125858513421, 1.0137133269879544, 1.2346355871073136, 1.1843433085517896, 1.0137133269879544, 1.2786237250538226, 1.7499744938801116, 0.9667841976905588, 1.210388289726734, 1.9654478632158394, 1.210388289726734, 1.0551077526785546, 1.8400957326624723, 1.500921511060305, 0.7701092349517793, 0.2829010508794287, 1.1562125858513421, 1.2786237250538226, 1.7955493000544414, 0.6690044017789917, 1.1256327492988034, 1.9654478632158394, 1.5423159367509052, 0.6690044017789917, 2.119470987775931, 0.5265051429156039, 2.1342709183544915, 1.3692368413349787, 1.4141634215360728, 0.2829010508794287, 1.1562125858513421]"
91,2,chrI,YAL003W,142174,143160,1,[1.5222278170899979]
90,3,chrI,YAL005C,139503,141431,-1,"[1.5704466594513526, 1.928419287650468, 1.8978394510979293, 0.9667841976905588, 1.1562125858513421, 1.29871184471473, 0.9667841976905588, 1.1843433085517896, 1.2346355871073136, 1.2786237250538226, 1.6506673445016888, 0.8485322362077505, 0.5265051429156039, 1.1562125858513421, 0.6690044017789917, 1.657767513572248, 0.9667841976905588, 0.2829010508794287, 0.6690044017789917, 0.8485322362077505, 1.67155149262414, 1.8870248619598677, 1.1256327492988034, 0.5265051429156039]"
89,4,chrI,YAL007C,137698,138345,-1,"[0.7701092349517793, 0.6690044017789917, 0.9126084938151668, 2.0531199881461086, 1.1562125858513421, 0.2829010508794287, 1.466325100326476, 1.6912639346271254, 0.6690044017789917, 0.2829010508794287, 1.335740420280101, 1.8942714365378641, 1.335740420280101, 2.488804906710821, 1.4539923817629092, 0.5265051429156039, 1.9151555846603154, 1.9741259934005702, 1.7218437711796641, 1.7276529351014789, 0.5265051429156039, 2.113756286001042, 1.4279474005879649, 1.8604162135983036, 2.1432140577880654, 0.6690044017789917, 2.162122825954619, 1.657767513572248, 1.7810046141784506, 2.4307543409203825]"
87,5,chrI,YAL008W,136914,137510,1,"[1.8524284512260387, 1.2786237250538226, 2.0145666968898204, 1.0551077526785546, 1.3998166778875174, 0.6690044017789917, 1.7099291923626512, 2.041520043562752, 1.0551077526785546, 2.0295241208232553, 1.8316267345371826, 0.5265051429156039, 0.6690044017789917, 2.0553947301685147, 1.2786237250538226, 2.3376110019355667, 1.8049217598996912, 1.67155149262414, 2.3841590217625552, 2.29899882220469, 2.104020305634479, 0.9667841976905588, 1.8002667724356356, 1.8870248619598677, 0.5265051429156039, 1.6360216247266204, 0.8485322362077505, 1.1843433085517896, 1.947421018763079, 1.8604162135983036, 0.2829010508794287, 0.2829010508794287, 1.1256327492988034, 0.2829010508794287, 1.9412005658352596, 1.6047613495965325, 1.2573174190241294, 0.2829010508794287, 0.7701092349517793, 1.7276529351014789, 1.6360216247266204, 1.7099291923626512, 0.6690044017789917]"
85,6,chrI,YAL009W,135854,136633,1,"[1.7218437711796641, 1.6128409333711538, 1.2346355871073136, 0.5265051429156039, 1.5222278170899979, 0.9667841976905588, 0.2829010508794287, 1.2573174190241294, 0.7701092349517793, 0.6690044017789917, 0.5265051429156039, 0.2829010508794287, 0.2829010508794287, 0.7701092349517793, 0.2829010508794287, 0.7701092349517793, 1.1256327492988034, 0.8485322362077505, 1.466325100326476, 1.1562125858513421, 1.0921363282439258, 0.2829010508794287, 0.5265051429156039, 0.5265051429156039, 1.4897635448401925, 0.2829010508794287, 0.2829010508794287, 0.2829010508794287, 0.6690044017789917, 0.7701092349517793, 1.0137133269879544, 0.2829010508794287, 0.6690044017789917, 0.2829010508794287, 0.2829010508794287]"
84,7,chrI,YAL010C,134184,135665,-1,"[1.7099291923626512, 0.9126084938151668, 0.6690044017789917, 1.1843433085517896, 0.5265051429156039, 1.0551077526785546, 0.5265051429156039]"
98,8,chrI,YAL011W,132199,134076,1,"[0.6690044017789917, 1.8978394510979293, 1.596491640626297, 1.2346355871073136, 0.2829010508794287, 0.2829010508794287, 1.0551077526785546, 1.210388289726734, 1.478239679143489, 0.7701092349517793, 1.0921363282439258, 1.1843433085517896, 1.0137133269879544, 0.8485322362077505, 0.9667841976905588, 0.2829010508794287, 1.0551077526785546, 1.335740420280101, 0.7701092349517793, 1.1256327492988034, 0.7701092349517793, 1.5613176678635161, 1.0137133269879544, 0.2829010508794287, 1.2346355871073136, 2.1816526509540046, 1.8604162135983036, 0.7701092349517793, 1.2346355871073136, 1.7606252003313516, 1.7099291923626512, 0.8485322362077505, 1.5324153830188807, 1.7276529351014789, 1.8002667724356356, 1.4279474005879649, 1.9348680266633007, 0.2829010508794287, 1.2786237250538226, 0.2829010508794287, 1.0137133269879544, 1.4141634215360728, 1.3692368413349787, 1.3528875485901217, 1.1843433085517896, 1.4412111035781174, 1.1256327492988034, 0.9667841976905588, 0.2829010508794287, 1.1843433085517896, 0.5265051429156039, 2.041520043562752, 0.5265051429156039, 0.2829010508794287, 0.2829010508794287, 0.7701092349517793, 0.7701092349517793, 1.0137133269879544, 1.0137133269879544, 0.5265051429156039, 1.1256327492988034, 1.7038169267269039, 1.4897635448401925, 1.0551077526785546, 1.4141634215360728]"
72,9,chrI,YAL012W,130799,131983,1,[0.5265051429156039]
